City,ZipCode,admname1,adm1,adm2,placename,Clown_Name,Clown_Na_1,Country
DENVER,80222,Colorado,CO,Denver,Denver,MILLFORD,MILLFORD,USA
DEPERE,54115,Wisconsin,WI,Brown,De Pere,SILLY,SILLY,USA
DEPERE,54115,Wisconsin,WI,Brown,De Pere,ANN TIQUE,ANN TIQUE,USA
DEPEW,14043,New York,NY,Erie,Depew,,,USA
DEPEW,14043,New York,NY,Erie,Depew,VIOLET,VIOLET,USA
DEPTFORD,8096,New Jersey,NJ,Gloucester,Woodbury,ALFIE,ALFIE,USA
DERBY,67037,Kansas,KS,Sedgwick,Derby,HAZEL,HAZEL,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,CLEON,CLEON,USA
DES MOINES,50315,Iowa,IA,Polk,Des Moines,BO BO,BOBO,USA
DES MOINES,50315,Iowa,IA,Polk,Des Moines,BE BE,BE BE,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,OOPS,OOPS,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,LUNKER DUNKER,LUNKER DUNKER,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,YO-YO,YO YO,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,LOTS A DOTS,LOTS A DOTS,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,TRIXY,TRIXY,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,COLA,COLA,USA
DES MOINES,50315,Iowa,IA,Polk,Des Moines,SUNSHINE,SUNSHINE,USA
DES MOINES,50311,Iowa,IA,Polk,Des Moines,PA PA CHOLLY,PA PA CHOLLY,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,K-BOB,K-BOB,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,GIGGLES,GIGGLES,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,PAPA,PAPA,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,SPARKY,SPARKY,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,WINGNUT,WINGNUT,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,BUBBLES,BUBBLES,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,WHISTLES,WHISTLES,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,SASSY,SASSY,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,CLASSY,CLASSY,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,,,USA
DES MOINES,50310,Iowa,IA,Polk,Des Moines,KINO,KINO,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,STITCHES,STITCHES,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,BEAR,BEAR,USA
DES MOINES,50313,Iowa,IA,Polk,Des Moines,IZZY,IZZY,USA
DES MOINES,50316,Iowa,IA,Polk,Des Moines,LUCKY 13,LUCKY 13,USA
DES MOINES,50315,Iowa,IA,Polk,Des Moines,PETUNIA,PETUNIA,USA
DES MOINES,50317,Iowa,IA,Polk,Des Moines,CHEERFUL CHUCKLES,CHEERFUL CHUCKLES,USA
DES MOINES,50327,Iowa,IA,Polk,Des Moines,TWINKLE,TWINKLE,USA
DES MOINES,50327,Iowa,IA,Polk,Des Moines,SPARKLE,SPARKLE,USA
DES PLAINES,60016,Illinois,IL,Cook,Des Plaines,JO-JO,JO-JO,USA
DETROIT,48239,Michigan,MI,Wayne,Redford,SMIGGINS,SMIGGINS,USA
DETROIT,48235,Michigan,MI,Wayne,Detroit,PIRATE JOE,PIRATE JOE,USA
DETROIT,48234,Michigan,MI,Wayne,Detroit,TWISTY,TWISTY,USA
DEWEY,74029,Oklahoma,OK,Washington,Dewey,MR GIGGLES,MR GIGGLES,USA
DEWITT,48820,Michigan,MI,Clinton,Dewitt,FLICKERS,FLICKERS,USA
DEWITT,48820,Michigan,MI,Clinton,Dewitt,APPLES,APPLES,USA
DILLON,29536,South Carolina,SC,Dillon,Dillon,MR. BIG HEART,MR. BIG HEART,USA
DILLSBURG,17019,Pennsylvania,PA,York,Dillsburg,WILLY-BILL,WILLY-BILL,USA
DILLSBURG,17019,Pennsylvania,PA,York,Dillsburg,TOPPER,TOPPER,USA
